,rd_2003,total_income_2003,rd_intensity_2003,a4,log_num_disputes,ownership1,ownership2,ownership3,ownership4,ownership5,ownership6,ownership7,ownership8,ownership9,simulated_rd_intensity,simulated_rd_intensity2
169,5240.0,88055.797,0.059507724,8,1.0986123,0,0,0,0,0,0,0,1,0,0.059507724,0.059507724
170,180.0,38607.0,0.004662367,4,0.0,0,0,0,1,0,0,0,0,0,0.004662367,0.004662367
171,200.0,23530.0,0.0084997872,1,1.0986123,1,0,0,0,0,0,0,0,0,0.0084997872,0.0084997872
172,268969.0,4152533.0,0.064772271,4,0.0,0,0,0,1,0,0,0,0,0,0.064772271,0.064772271
173,22.0,82787.0,0.00026574222,9,0.0,0,0,0,0,0,0,0,0,1,0.00026574222,0.00026574222
174,2500.0,3258034.0,0.0007673339,8,3.0445225,0,0,0,0,0,0,0,1,0,0.0007673339,0.0007673339
175,11103.0,5497710.0,0.0020195681,5,0.0,0,0,0,0,1,0,0,0,0,0.06536867484755884,0.06196005992231085
176,4687.0,392264.0,0.011948586,8,0.0,0,0,0,0,0,0,0,1,0,0.011948586,0.011948586
177,1880.0,381737.0,0.0049248566,8,1.3862944,0,0,0,0,0,0,0,1,0,0.0049248566,0.0049248566
178,40.0,67531.0,0.00059232058,8,0.0,0,0,0,0,0,0,0,1,0,0.00059232058,0.00059232058
179,234.0,58282.0,0.0040149619,8,0.0,0,0,0,0,0,0,0,1,0,0.0040149619,0.0040149619
180,129.0,67563.0,0.0019093291,4,1.7917595,0,0,0,1,0,0,0,0,0,0.0019093291,0.0019093291
181,999.0,52854.0,0.018901125,4,0.0,0,0,0,1,0,0,0,0,0,0.018901125,0.018901125
182,20.0,49052.0,0.00040773058,4,1.0986123,0,0,0,1,0,0,0,0,0,0.00040773058,0.00040773058
183,150.0,18675.9,0.0080317417,4,0.0,0,0,0,1,0,0,0,0,0,0.0080317417,0.0080317417
184,31.0,10810.0,0.002867715,3,0.69314718,0,0,1,0,0,0,0,0,0,0.002867715,0.002867715
185,100.0,17711.0,0.0056462088,4,0.0,0,0,0,1,0,0,0,0,0,0.0056462088,0.0056462088
186,1371.0,128409.0,0.010676822,1,0.0,1,0,0,0,0,0,0,0,0,0.010676822,0.010676822
187,4224.0,187011.0,0.022586906,4,0.0,0,0,0,1,0,0,0,0,0,0.022586906,0.022586906
188,413256.0,6105188.0,0.067689314,8,0.69314718,0,0,0,0,0,0,0,1,0,0.067689314,0.067689314
189,250.0,24093.0,0.010376458,4,0.0,0,0,0,1,0,0,0,0,0,0.010376458,0.010376458
190,270.0,188708.0,0.0014307819,3,0.0,0,0,1,0,0,0,0,0,0,0.0014307819,0.0014307819
191,24.0,50413.0,0.00047606768,7,0.0,0,0,0,0,0,0,1,0,0,0.00047606768,0.00047606768
192,84269.0,1626437.0,0.051812027,7,1.6094379,0,0,0,0,0,0,1,0,0,0.051812027,0.051812027
193,14159.0,440752.0,0.032124642,8,0.0,0,0,0,0,0,0,0,1,0,0.032124642,0.032124642
194,750.0,368689.0,0.0020342348,3,0.0,0,0,1,0,0,0,0,0,0,0.0020342348,0.0020342348
195,6315.0,185697.0,0.034007013,5,2.3978953,0,0,0,0,1,0,0,0,0,0.05985198587800575,0.5268176947800123
196,3900.0,136730.0,0.028523367,1,0.0,1,0,0,0,0,0,0,0,0,0.028523367,0.028523367
197,5010.0,139852.0,0.035823584,5,1.6094379,0,0,0,0,1,0,0,0,0,0.05318635592565502,0.3783743759165192
198,500.0,101546.0,0.0049238768,8,1.7917595,0,0,0,0,0,0,0,1,0,0.0049238768,0.0049238768
199,6810.0,72660.0,0.093724191,4,0.0,0,0,0,1,0,0,0,0,0,0.093724191,0.093724191
200,832.0,85148.0,0.0097712222,5,0.0,0,0,0,0,1,0,0,0,0,0.052499701214609895,0.05678282859567186
201,2600.0,97223.0,0.026742643,4,0.0,0,0,0,1,0,0,0,0,0,0.026742643,0.026742643
202,156.0,88099.0,0.0017707353,3,0.0,0,0,1,0,0,0,0,0,0,0.0017707353,0.0017707353
203,431.0,66172.0,0.0065133288,1,0.0,1,0,0,0,0,0,0,0,0,0.0065133288,0.0065133288
204,25.0,55040.0,0.00045421513,8,0.0,0,0,0,0,0,0,0,1,0,0.00045421513,0.00045421513
205,450.0,45033.0,0.0099926721,3,0.0,0,0,1,0,0,0,0,0,0,0.0099926721,0.0099926721
206,150.0,17825.4,0.0084149586,8,0.0,0,0,0,0,0,0,0,1,0,0.0084149586,0.0084149586
207,638.0,32983.0,0.019343298,3,0.0,0,0,1,0,0,0,0,0,0,0.019343298,0.019343298
208,350.0,16701.0,0.020956829,4,0.0,0,0,0,1,0,0,0,0,0,0.020956829,0.020956829
209,70.0,17790.0,0.003934795,4,0.0,0,0,0,1,0,0,0,0,0,0.003934795,0.003934795
210,320.0,11848.0,0.027008777,4,0.0,0,0,0,1,0,0,0,0,0,0.027008777,0.027008777
211,1.0,11911.0,8.3956009e-05,1,2.1972246,1,0,0,0,0,0,0,0,0,8.3956009e-05,8.3956009e-05
212,4.0,3470.0,0.0011527378,5,0.0,0,0,0,0,1,0,0,0,0,0.047582594691182,0.05515262432099177
213,3583.0,259640.11,0.013799871,5,0.0,0,0,0,0,1,0,0,0,0,0.05640426232428152,0.05267222148199212
214,12108.3,1288470.0,0.0093974248,4,0.0,0,0,0,1,0,0,0,0,0,0.0093974248,0.0093974248
215,225.0,500734.0,0.00044934035,7,0.0,0,0,0,0,0,0,1,0,0,0.00044934035,0.00044934035
216,1556.0,465824.0,0.0033403174,8,0.0,0,0,0,0,0,0,0,1,0,0.0033403174,0.0033403174
217,700.0,18471.0,0.037897244,8,1.6094379,0,0,0,0,0,0,0,1,0,0.037897244,0.037897244
218,116798.0,5343812.0,0.021856682,1,0.0,1,0,0,0,0,0,0,0,0,0.021856682,0.021856682
219,168.0,125611.0,0.0013374625,7,0.0,0,0,0,0,0,0,1,0,0,0.0013374625,0.0013374625
220,154.0,26065.0,0.0059083062,4,0.0,0,0,0,1,0,0,0,0,0,0.0059083062,0.0059083062
221,69943.0,1283429.0,0.054496977,8,0.0,0,0,0,0,0,0,0,1,0,0.054496977,0.054496977
222,2205.0,431587.0,0.0051090512,8,0.0,0,0,0,0,0,0,0,1,0,0.0051090512,0.0051090512
223,1500.0,84628.0,0.017724629,6,0.0,0,0,0,0,0,1,0,0,0,0.017724629,0.017724629
224,64000.0,451104.0,0.14187416,1,0.0,1,0,0,0,0,0,0,0,0,0.14187416,0.14187416
225,4055.0,178528.0,0.022713523,1,1.0986123,1,0,0,0,0,0,0,0,0,0.022713523,0.022713523
226,650.0,102358.0,0.0063502607,1,0.0,1,0,0,0,0,0,0,0,0,0.0063502607,0.0063502607
227,60.0,46065.0,0.0013025074,2,2.1972246,0,1,0,0,0,0,0,0,0,0.0013025074,0.0013025074
228,5004.0,389930.0,0.012833073,7,0.0,0,0,0,0,0,0,1,0,0,0.012833073,0.012833073
229,3530.0,142488.0,0.024774017,5,1.0986123,0,0,0,0,1,0,0,0,0,0.06052577089405117,0.26875643755973744
230,1250.0,103247.0,0.012106889,5,1.0986123,0,0,0,0,1,0,0,0,0,0.055301472201204904,0.2687736842468389
231,162.0,116332.0,0.0013925661,4,0.0,0,0,0,1,0,0,0,0,0,0.0013925661,0.0013925661
232,170.60001,87290.398,0.001954396,1,0.0,1,0,0,0,0,0,0,0,0,0.001954396,0.001954396
233,50747.0,2435909.0,0.020832879,5,3.0445225,0,0,0,0,1,0,0,0,0,0.04936697960461097,0.65198473820263
234,50548.0,891803.0,0.056680679,8,0.0,0,0,0,0,0,0,0,1,0,0.056680679,0.056680679
235,10531.0,206954.0,0.050885703,5,0.0,0,0,0,0,1,0,0,0,0,0.058908169390969926,0.040646518768889695
236,1390.0,121444.0,0.011445604,4,2.1972246,0,0,0,1,0,0,0,0,0,0.011445604,0.011445604
237,981.79999,103442.0,0.0094913086,4,0.0,0,0,0,1,0,0,0,0,0,0.0094913086,0.0094913086
238,1426.0,101472.0,0.014053138,4,0.0,0,0,0,1,0,0,0,0,0,0.014053138,0.014053138
